lotid,waferscribe,stepname,parameter_name,sample_date,ext_mv
3834463.0V3,CX6XK028SED0,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-04-09 21:31:29,0
3793673.003,CV5PP032SEB6,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-01-16 08:14:37,0
3919683.003,DA8LR159SEB2,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-09-15 10:23:25,100
3864513.003,POOYN162MXG3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-05-26 01:08:38,1
3915423.003,CZ4KZ239SEC7,1230-GH CONTACT PRE METAL CMP THK,POINTS_VALID_S1_JPCT,2019-09-09 13:17:22,100
3765503.003,M6MFL095WAF2,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-28 02:42:08,0.97926599999999996981614458491094410419464111328125
3751003.003,CJ1BU270SED1,1230-GH CONTACT PRE METAL CMP THK,GOF,2018-10-04 11:50:40,0.97071508333333300644341079532750882208347320556640625
3942203.003,DA8LR067SEF4,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-09-18 08:49:00,2
3858553.003,CX8GQ077SEF6,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-05-29 02:59:28,0.6680951666666670174521414082846604287624359130859375
3738543.003,M6FRK050WAD2,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2018-10-04 13:20:04,13
3845053.003,KC9YW161WFB0,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-07-26 19:26:37,2
3864513.003,POOYN162MXG3,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-05-26 01:08:38,0.964082499999999953388396534137427806854248046875
3762023.073,M6MFL053WAA7,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2018-10-26 18:42:27,100
3784863.003,CU4SZ316SED0,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2019-01-20 03:00:21,2
3788243.023,CV6BG014SEC0,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-01-03 15:36:10,0.673929250000000035214497984270565211772918701171875
3759663.003,CN4ST146SEG7,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JCNT,2018-10-17 14:17:33,2
3809433.0R3,KCGHC120WFF4,1230-GH CONTACT PRE METAL CMP THK,GOF,2019-01-26 02:13:25,0.9624627500000000335234062731615267693996429443359375
3735023.063,M6FRK019WAB3,1230-GH CONTACT PRE METAL CMP THK,WAFERS_MEASURED_JPCT,2018-10-26 18:06:24,100
